RobotName_Diss;NumberMain;NumberVar
P4PRRR1GxPxA1;1;1
P4PRRRR3GxPxA1;2;1
P4PRRRR3V1GxPxA1;2;2
P4PRRRR4GxPxA1;3;1
P4PRRRR4V1GxPxA1;3;2
P4PRRRR6GxPxA1;4;1
P4PRRRR6V1GxPxA1;4;2
P4PRRRR7GxPxA1;5;1
P4PRRRR7V1GxPxA1;5;2
P4PRRRR8GxPxA1;6;1
P4PRRRR8V1GxPxA1;6;2
P4PRRRR8V2GxPxA1;6;3
P4RPRR1GxPxA2;7;1
P4RPRRR12GxPxA2;12;1
P4RPRRR12V1GxPxA2;12;2
P4RPRRR12V2GxPxA2;12;3
P4RPRRR12V3GxPxA2;12;4
P4RPRRR2GxPxA2;8;1
P4RPRRR2V1GxPxA2;8;2
P4RPRRR6GxPxA2;9;1
P4RPRRR6V1GxPxA2;9;2
P4RPRRR6V2GxPxA2;9;3
P4RPRRR6V3GxPxA2;9;4
P4RPRRR8GxPxA2;10;1
P4RPRRR8V1GxPxA2;10;2
P4RPRRR8V2GxPxA2;10;3
P4RPRRR8V3GxPxA2;10;4
P4RPRRR9GxPxA2;11;1
P4RPRRR9V1GxPxA2;11;2
P4RPRRR9V2GxPxA2;11;3
P4RPRRR9V3GxPxA2;11;4
P4RRPR1GxPxA3;13;1
P4RRPRR12GxPxA3;19;1
P4RRPRR12V1GxPxA3;19;2
P4RRPRR12V2GxPxA3;19;3
P4RRPRR12V3GxPxA3;19;4
P4RRPRR12V4GxPxA3;19;5
P4RRPRR12V5GxPxA3;19;6
P4RRPRR2GxPxA3;14;1
P4RRPRR2V1GxPxA3;14;2
P4RRPRR4GxPxA3;15;1
P4RRPRR4V1GxPxA3;15;2
P4RRPRR5GxPxA3;16;1
P4RRPRR5V1GxPxA3;16;2
P4RRPRR7GxPxA3;17;1
P4RRPRR8GxPxA3;18;1
P4RRPRR8V1GxPxA3;18;2
P4RRPRR8V2GxPxA3;18;3
P4RRRPR1GxPxA4;20;1
P4RRRPR1V1GxPxA4;20;2
P4RRRPR2GxPxA4;21;1
P4RRRPR2V1GxPxA4;21;2
P4RRRPR4GxPxA4;22;1
P4RRRPR4V1GxPxA4;22;2
P4RRRPR4V2GxPxA4;22;3
P4RRRPR4V3GxPxA4;22;4
P4RRRPR5GxPxA4;23;1
P4RRRPR5V1GxPxA4;23;2
P4RRRPR5V2GxPxA4;23;3
P4RRRPR5V3GxPxA4;23;4
P4RRRPR7GxPxA4;24;1
P4RRRPR7V1GxPxA4;24;2
P4RRRPR7V2GxPxA4;24;3
P4RRRPR7V3GxPxA4;24;4
P4RRRPR8GxPxA4;25;1
P4RRRPR8V1GxPxA4;25;2
P4RRRPR8V2GxPxA4;25;3
P4RRRPR8V3GxPxA4;25;4
P4RRRRR10GxPxA1;30;1
P4RRRRR10GxPxA2;30;2
P4RRRRR10GxPxA3;30;3
P4RRRRR10GxPxA4;30;4
P4RRRRR10V1GxPxA1;30;5
P4RRRRR10V2GxPxA1;30;6
P4RRRRR10V2GxPxA2;30;7
P4RRRRR10V2GxPxA3;30;8
P4RRRRR5GxPxA1;26;1
P4RRRRR5GxPxA2;26;2
P4RRRRR5GxPxA3;26;3
P4RRRRR5GxPxA4;26;4
P4RRRRR5V1GxPxA1;26;5
P4RRRRR5V1GxPxA2;26;6
P4RRRRR6GxPxA1;27;1
P4RRRRR6GxPxA2;27;2
P4RRRRR6GxPxA3;27;3
P4RRRRR6GxPxA4;27;4
P4RRRRR6V1GxPxA1;27;5
P4RRRRR6V1GxPxA4;27;6
P4RRRRR7GxPxA1;28;1
P4RRRRR7GxPxA2;28;2
P4RRRRR7GxPxA3;28;3
P4RRRRR7GxPxA4;28;4
P4RRRRR7V1GxPxA3;28;5
P4RRRRR7V2GxPxA1;28;6
P4RRRRR7V2GxPxA2;28;7
P4RRRRR7V2GxPxA3;28;8
P4RRRRR8GxPxA1;29;1
P4RRRRR8GxPxA2;29;2
P4RRRRR8GxPxA3;29;3
P4RRRRR8GxPxA4;29;4
P4RRRRR8V2GxPxA1;29;5
P4RRRRR8V2GxPxA2;29;6
