RobotName_Diss;NumberMain;NumberVar
P6PRRRRR1GxPxA1;1;1
P6PRRRRR1V2GxPxA1;1;2
P6PRRRRR1V3GxPxA1;1;3
P6PRRRRR2GxPxA1;2;1
P6PRRRRR2V2GxPxA1;2;2
P6PRRRRR2V3GxPxA1;2;3
P6PRRRRR3GxPxA1;3;1
P6PRRRRR4GxPxA1;4;1
P6PRRRRR4V2GxPxA1;4;2
P6PRRRRR4V3GxPxA1;4;3
P6PRRRRR5GxPxA1;5;1
P6PRRRRR6GxPxA1;6;1
P6PRRRRR6V2GxPxA1;6;2
P6PRRRRR6V4GxPxA1;6;3
P6RPRRRR10GxPxA2;13;1
P6RPRRRR10V2GxPxA2;13;2
P6RPRRRR10V3GxPxA2;13;3
P6RPRRRR10V4GxPxA2;13;4
P6RPRRRR10V5GxPxA2;13;5
P6RPRRRR10V6GxPxA2;13;6
P6RPRRRR11GxPxA2;14;1
P6RPRRRR11V3GxPxA2;14;2
P6RPRRRR12GxPxA2;15;1
P6RPRRRR12V2GxPxA2;15;2
P6RPRRRR12V4GxPxA2;15;3
P6RPRRRR12V5GxPxA2;15;4
P6RPRRRR2GxPxA2;7;1
P6RPRRRR2V2GxPxA2;7;2
P6RPRRRR2V3GxPxA2;7;3
P6RPRRRR2V4GxPxA2;7;4
P6RPRRRR3GxPxA2;8;1
P6RPRRRR3V2GxPxA2;8;2
P6RPRRRR3V3GxPxA2;8;3
P6RPRRRR3V4GxPxA2;8;4
P6RPRRRR4GxPxA2;9;1
P6RPRRRR4V2GxPxA2;9;2
P6RPRRRR4V3GxPxA2;9;3
P6RPRRRR4V4GxPxA2;9;4
P6RPRRRR5GxPxA2;10;1
P6RPRRRR5V2GxPxA2;10;2
P6RPRRRR5V3GxPxA2;10;3
P6RPRRRR5V4GxPxA2;10;4
P6RPRRRR8GxPxA2;11;1
P6RPRRRR8V2GxPxA2;11;2
P6RPRRRR8V3GxPxA2;11;3
P6RPRRRR8V4GxPxA2;11;4
P6RPRRRR9GxPxA2;12;1
P6RPRRRR9V2GxPxA2;12;2
P6RPRRRR9V3GxPxA2;12;3
P6RPRRRR9V4GxPxA2;12;4
P6RRPRRR10GxPxA3;23;1
P6RRPRRR10V2GxPxA3;23;2
P6RRPRRR10V3GxPxA3;23;3
P6RRPRRR10V4GxPxA3;23;4
P6RRPRRR10V5GxPxA3;23;5
P6RRPRRR12GxPxA3;24;1
P6RRPRRR12V2GxPxA3;24;2
P6RRPRRR12V3GxPxA3;24;3
P6RRPRRR12V4GxPxA3;24;4
P6RRPRRR12V5GxPxA3;24;5
P6RRPRRR12V6GxPxA3;24;6
P6RRPRRR13GxPxA3;25;1
P6RRPRRR13V2GxPxA3;25;2
P6RRPRRR13V3GxPxA3;25;3
P6RRPRRR13V4GxPxA3;25;4
P6RRPRRR13V5GxPxA3;25;5
P6RRPRRR13V6GxPxA3;25;6
P6RRPRRR14GxPxA3;26;1
P6RRPRRR14V2GxPxA3;26;2
P6RRPRRR14V4GxPxA3;26;3
P6RRPRRR14V5GxPxA3;26;4
P6RRPRRR14V6GxPxA3;26;5
P6RRPRRR14V7GxPxA3;26;6
P6RRPRRR1GxPxA3;16;1
