RobotName_Diss;NumberMain;NumberVar
P6RRPRRR1V2GxPxA3;16;2
P6RRPRRR1V3GxPxA3;16;3
P6RRPRRR2GxPxA3;17;1
P6RRPRRR2V2GxPxA3;17;2
P6RRPRRR2V3GxPxA3;17;3
P6RRPRRR4GxPxA3;18;1
P6RRPRRR4V2GxPxA3;18;2
P6RRPRRR4V3GxPxA3;18;3
P6RRPRRR4V4GxPxA3;18;4
P6RRPRRR4V5GxPxA3;18;5
P6RRPRRR4V6GxPxA3;18;6
P6RRPRRR5GxPxA3;19;1
P6RRPRRR5V2GxPxA3;19;2
P6RRPRRR5V3GxPxA3;19;3
P6RRPRRR5V4GxPxA3;19;4
P6RRPRRR5V5GxPxA3;19;5
P6RRPRRR5V6GxPxA3;19;6
P6RRPRRR7GxPxA3;20;1
P6RRPRRR7V2GxPxA3;20;2
P6RRPRRR7V3GxPxA3;20;3
P6RRPRRR7V4GxPxA3;20;4
P6RRPRRR7V5GxPxA3;20;5
P6RRPRRR7V6GxPxA3;20;6
P6RRPRRR8GxPxA3;21;1
P6RRPRRR8V2GxPxA3;21;2
P6RRPRRR8V3GxPxA3;21;3
P6RRPRRR8V4GxPxA3;21;4
P6RRPRRR9GxPxA3;22;1
P6RRPRRR9V2GxPxA3;22;2
P6RRPRRR9V3GxPxA3;22;3
P6RRPRRR9V4GxPxA3;22;4
P6RRPRRR9V5GxPxA3;22;5
P6RRPRRR9V6GxPxA3;22;6
P6RRRPRR11GxPxA4;35;1
P6RRRPRR11V2GxPxA4;35;2
P6RRRPRR11V3GxPxA4;35;3
P6RRRPRR11V5GxPxA4;35;4
P6RRRPRR11V6GxPxA4;35;5
P6RRRPRR11V8GxPxA4;35;6
P6RRRPRR12GxPxA4;36;1
P6RRRPRR12V2GxPxA4;36;2
P6RRRPRR12V3GxPxA4;36;3
P6RRRPRR12V4GxPxA4;36;4
P6RRRPRR12V5GxPxA4;36;5
P6RRRPRR13GxPxA4;37;1
P6RRRPRR13V2GxPxA4;37;2
P6RRRPRR13V3GxPxA4;37;3
P6RRRPRR13V4GxPxA4;37;4
P6RRRPRR13V6GxPxA4;37;5
P6RRRPRR13V7GxPxA4;37;6
P6RRRPRR13V8GxPxA4;37;7
P6RRRPRR13V9GxPxA4;37;8
P6RRRPRR14GxPxA4;38;1
P6RRRPRR14V2GxPxA4;38;2
P6RRRPRR14V3GxPxA4;38;3
P6RRRPRR14V4GxPxA4;38;4
P6RRRPRR15GxPxA4;39;1
P6RRRPRR15V10GxPxA4;39;8
P6RRRPRR15V2GxPxA4;39;2
P6RRRPRR15V3GxPxA4;39;3
P6RRRPRR15V4GxPxA4;39;4
P6RRRPRR15V6GxPxA4;39;5
P6RRRPRR15V7GxPxA4;39;6
P6RRRPRR15V8GxPxA4;39;7
P6RRRPRR1GxPxA4;27;1
P6RRRPRR1V2GxPxA4;27;2
P6RRRPRR1V3GxPxA4;27;3
P6RRRPRR2GxPxA4;28;1
P6RRRPRR2V2GxPxA4;28;2
P6RRRPRR2V3GxPxA4;28;3
P6RRRPRR2V4GxPxA4;28;4
P6RRRPRR4GxPxA4;29;1
P6RRRPRR4V2GxPxA4;29;2
P6RRRPRR4V3GxPxA4;29;3
P6RRRPRR4V4GxPxA4;29;4
P6RRRPRR5GxPxA4;30;1
P6RRRPRR5V2GxPxA4;30;2
P6RRRPRR5V3GxPxA4;30;3
P6RRRPRR5V4GxPxA4;30;4
P6RRRPRR6GxPxA4;31;1
P6RRRPRR6V2GxPxA4;31;2
P6RRRPRR7GxPxA4;32;1
P6RRRPRR7V2GxPxA4;32;2
P6RRRPRR7V3GxPxA4;32;3
P6RRRPRR7V4GxPxA4;32;4
P6RRRPRR8GxPxA4;33;1
P6RRRPRR8V2GxPxA4;33;2
P6RRRPRR8V3GxPxA4;33;3
P6RRRPRR8V4GxPxA4;33;4
P6RRRPRR9GxPxA4;34;1
P6RRRPRR9V10GxPxA4;34;10
P6RRRPRR9V2GxPxA4;34;2
P6RRRPRR9V3GxPxA4;34;3
P6RRRPRR9V4GxPxA4;34;4
P6RRRPRR9V5GxPxA4;34;5
P6RRRPRR9V6GxPxA4;34;6
P6RRRPRR9V7GxPxA4;34;7
P6RRRPRR9V8GxPxA4;34;8
P6RRRPRR9V9GxPxA4;34;9
P6RRRRRR10GxPxA1;47;1
P6RRRRRR10GxPxA2;47;2
P6RRRRRR10GxPxA3;47;3
P6RRRRRR10GxPxA4;47;4
P6RRRRRR10V3GxPxA1;47;5
P6RRRRRR10V3GxPxA2;47;6
P6RRRRRR10V3GxPxA3;47;7
P6RRRRRR10V6GxPxA1;47;8
P6RRRRRR10V8GxPxA3;47;9
P6RRRRRR2GxPxA1;40;1
P6RRRRRR2GxPxA2;40;2
P6RRRRRR2GxPxA3;40;3
P6RRRRRR2GxPxA4;40;4
P6RRRRRR2V2GxPxA3;40;5
P6RRRRRR2V3GxPxA1;40;6
P6RRRRRR2V3GxPxA2;40;7
P6RRRRRR2V3GxPxA3;40;8
P6RRRRRR3GxPxA1;41;1
P6RRRRRR3GxPxA2;41;2
P6RRRRRR3GxPxA3;41;3
P6RRRRRR3GxPxA4;41;4
P6RRRRRR3V3GxPxA1;41;5
P6RRRRRR3V3GxPxA2;41;6
P6RRRRRR5GxPxA1;42;1
P6RRRRRR5GxPxA2;42;2
P6RRRRRR5GxPxA3;42;3
P6RRRRRR5GxPxA4;42;4
P6RRRRRR5V2GxPxA1;42;5
P6RRRRRR5V2GxPxA4;42;6
P6RRRRRR5V3GxPxA1;42;7
P6RRRRRR5V3GxPxA2;42;8
P6RRRRRR5V3GxPxA3;42;9
P6RRRRRR5V3GxPxA4;42;10
P6RRRRRR5V4GxPxA4;42;11
P6RRRRRR6GxPxA1;43;1
P6RRRRRR6GxPxA2;43;2
P6RRRRRR6GxPxA3;43;3
P6RRRRRR6GxPxA4;43;4
P6RRRRRR6V2GxPxA1;43;5
P6RRRRRR6V3GxPxA1;43;6
P6RRRRRR6V3GxPxA2;43;7
P6RRRRRR6V3GxPxA3;43;8
P6RRRRRR7GxPxA1;44;1
P6RRRRRR7GxPxA2;44;2
P6RRRRRR7GxPxA3;44;3
P6RRRRRR7GxPxA4;44;4
P6RRRRRR8GxPxA1;45;1
P6RRRRRR8GxPxA2;45;2
P6RRRRRR8GxPxA3;45;3
P6RRRRRR8GxPxA4;45;4
P6RRRRRR8V2GxPxA1;45;5
P6RRRRRR8V2GxPxA2;45;6
P6RRRRRR8V3GxPxA1;45;7
P6RRRRRR8V3GxPxA2;45;8
P6RRRRRR8V3GxPxA3;45;9
P6RRRRRR8V3GxPxA4;45;10
P6RRRRRR8V6GxPxA4;45;11
P6RRRRRR9GxPxA1;46;1
P6RRRRRR9GxPxA2;46;2
P6RRRRRR9GxPxA3;46;3
P6RRRRRR9GxPxA4;46;4
