RobotName_Diss;NumberMain;NumberVar
P5PRRRR3GxPxA1;1;1
P5PRRRR3V1GxPxA1;1;2
P5PRRRR4GxPxA1;2;1
P5PRRRR4V1GxPxA1;2;2
P5PRRRR6GxPxA1;3;1
P5PRRRR6V1GxPxA1;3;2
P5PRRRR7GxPxA1;4;1
P5PRRRR7V1GxPxA1;4;2
P5RPRRR2GxPxA2;5;1
P5RPRRR8GxPxA2;6;1
P5RPRRR8V1GxPxA2;6;2
P5RPRRR8V2GxPxA2;6;3
P5RRPRR2GxPxA3;7;1
P5RRPRR2V1GxPxA3;7;2
P5RRPRR4GxPxA3;8;1
P5RRPRR5GxPxA3;9;1
P5RRPRR6GxPxA3;10;1
P5RRPRR7GxPxA3;11;1
P5RRRPR1GxPxA4;12;1
P5RRRPR1V1GxPxA4;12;2
P5RRRPR2GxPxA4;13;1
P5RRRPR4GxPxA4;14;1
P5RRRPR4V1GxPxA4;14;2
P5RRRRR5GxPxA1;15;1
P5RRRRR5GxPxA2;15;2
P5RRRRR5GxPxA3;15;3
P5RRRRR5GxPxA4;15;4
P5RRRRR5V1GxPxA1;15;5
P5RRRRR5V1GxPxA2;15;6
P5RRRRR6GxPxA1;16;1
P5RRRRR6GxPxA2;16;2
P5RRRRR6GxPxA3;16;3
P5RRRRR6GxPxA4;16;4
P5RRRRR6V1GxPxA1;16;5
P5RRRRR6V1GxPxA4;16;6
